px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.91328	-10.7405	-2.75758	1.80786	-0.219614	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.246934
9.92244	-10.8785	-2.68266	1.7731	-0.250095	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.99481
9.92215	-11.0345	-2.6894	1.73836	-0.269972	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.443587
9.94044	-11.1675	-2.69189	1.72332	-0.270948	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0849712
9.92961	-11.3181	-2.70865	1.68657	-0.292723	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.49459
9.94457	-11.4577	-2.72169	1.67232	-0.291089	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.113324
9.92542	-11.6086	-2.73791	1.63428	-0.313107	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.556156
9.86617	-11.7188	-2.56397	1.54839	-0.410364	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	15.2273
9.83578	-11.8532	-2.571	1.50995	-0.427183	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.433609
9.81859	-11.979	-2.56263	1.48208	-0.434906	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.154895
9.76807	-12.1235	-2.58797	1.43345	-0.459792	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.82521
9.71169	-12.241	-2.51669	1.36537	-0.522214	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.83486
9.65414	-12.3683	-2.52746	1.31894	-0.54101	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.650962
9.55338	-12.463	-2.42032	1.2118	-0.649694	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	11.733
9.47673	-12.5787	-2.43371	1.15783	-0.669333	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.794518
9.40643	-12.6959	-2.42098	1.10375	-0.692316	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.431621
9.31868	-12.8101	-2.42717	1.04861	-0.707949	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.644197
9.16312	-12.8821	-2.35049	0.88716	-0.879857	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	23.8144
9.03254	-12.9795	-2.39421	0.809099	-0.909484	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	2.10453
8.89053	-13.0558	-2.39499	0.697649	-0.990574	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.3973
8.76378	-13.1261	-2.3991	0.625971	-1.00616	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.899389
8.61293	-13.1773	-2.42819	0.50764	-1.09752	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.46124
8.47624	-13.2256	-2.44747	0.434031	-1.1133	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.01934
8.28495	-13.2513	-2.52035	0.28487	-1.23187	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.4372
8.1308	-13.2666	-2.52368	0.199018	-1.24804	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.17419
7.96711	-13.2714	-2.56076	0.0974695	-1.29007	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.78573
7.81764	-13.262	-2.55749	0.0132519	-1.30238	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.641978
7.74012	-13.2863	-2.43605	0.00884185	-1.21659	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	7.14406
7.58478	-13.2837	-2.48475	-0.0599141	-1.21957	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.08382
7.4417	-13.2634	-2.49004	-0.132773	-1.22374	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.83398
7.27649	-13.2457	-2.53855	-0.200451	-1.22025	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.760422
7.11803	-13.1844	-2.6359	-0.301709	-1.27384	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.34659
6.96313	-13.1485	-2.68474	-0.360857	-1.26588	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.734906
6.82993	-13.1011	-2.67109	-0.421989	-1.25523	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.252262
6.6665	-13.0488	-2.71997	-0.479453	-1.24111	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.707617
6.57241	-13.0189	-2.54076	-0.504579	-1.17504	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.60934
6.40447	-12.9771	-2.6064	-0.540077	-1.14407	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.56841
6.29145	-12.9202	-2.5433	-0.584783	-1.11764	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.6135
6.11699	-12.873	-2.61746	-0.608325	-1.07865	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	2.20393
5.97781	-12.762	-2.78171	-0.686507	-1.11959	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.84564
5.81703	-12.6954	-2.84533	-0.709133	-1.08544	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.75508
5.72145	-12.6302	-2.67897	-0.739712	-1.03864	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.44773
5.56501	-12.5617	-2.72265	-0.757949	-1.00071	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	1.4943
5.44385	-12.4451	-2.78584	-0.816261	-1.00862	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.953145
5.28042	-12.3693	-2.83153	-0.824528	-0.962885	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	2.0121
5.17967	-12.2737	-2.77062	-0.863712	-0.944486	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	1.18641
5.0382	-12.1827	-2.79968	-0.880845	-0.910928	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	1.02298
4.94266	-12.0691	-2.81493	-0.924156	-0.908484	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.424803
4.82788	-11.9813	-2.82585	-0.941148	-0.881456	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.73194
4.73413	-11.8519	-2.84691	-0.988559	-0.881702	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.144599
4.64788	-11.7244	-2.84545	-1.03315	-0.878044	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.023183
4.5957	-11.6206	-2.68799	-1.07831	-0.869117	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.36622
4.53016	-11.5028	-2.67302	-1.12119	-0.865119	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.262965
4.41831	-11.3198	-3.00386	-1.15624	-0.863629	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	24.5242
4.38376	-11.1718	-2.99751	-1.21624	-0.880205	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.232725
4.38272	-11.0543	-2.76654	-1.28762	-0.903591	4.43713	-11.024	4.45	-11.05	0	1.81614	11.9141
4.37169	-10.9058	-2.75132	-1.35483	-0.921338	4.45136	-10.93	4.45	-10.95	0	1.81612	0.404641
4.35043	-10.759	-2.74166	-1.41006	-0.926156	4.44745	-10.786	4.45	-10.8	0	2.72555	0.109138
4.36251	-10.6099	-2.727	-1.48163	-0.947043	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.598291
4.36095	-10.466	-2.71218	-1.53816	-0.952245	4.46329	-10.5756	4.45	-10.5	0	2.729	0.270309
4.38023	-10.3173	-2.70685	-1.60381	-0.965588	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.235184
4.40288	-10.1738	-2.68556	-1.66763	-0.978038	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.29657
4.45335	-10.0249	-2.68691	-1.74352	-0.999723	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.559556
4.48346	-9.88078	-2.69889	-1.7957	-0.994658	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.435274
4.54927	-9.73494	-2.70645	-1.87004	-1.0136	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.466838
4.56699	-9.57669	-2.76644	-1.89094	-0.967166	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.08344
4.64867	-9.4338	-2.77653	-1.9641	-0.986099	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.581722
4.72462	-9.29907	-2.77268	-2.02916	-0.997987	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.446616
4.8329	-9.15466	-2.80663	-2.10716	-1.0189	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.80308
4.91642	-9.03399	-2.81124	-2.16626	-1.0289	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.119838
5.00679	-8.92371	-2.81203	-2.22344	-1.03425	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.100318
5.07909	-8.7982	-2.81481	-2.24771	-0.988088	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.71063
5.20013	-8.66968	-2.84753	-2.31142	-0.995415	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.341646
5.30097	-8.56583	-2.85224	-2.3607	-0.993411	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.076808
5.41502	-8.45959	-2.87372	-2.41332	-0.995142	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.124151
5.50215	-8.35018	-2.84924	-2.42881	-0.93857	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.28279
